loc,dist
1600213,190.25
121658,190.072
742746,189.339
546186,189.339
1034787,189.161
531410,188.526
890141,188.518
985270,187.272
32001,187.193
250658,186.997
1045309,186.325
919818,185.106
750216,185.103
553656,185.103
1591845,184.791
191092,182.959
1040594,180.649
1384434,180.35
232304,179.115
103512,177.93
1648486,177.265
184978,177.007
663119,176.137
106687,175.871
1103467,175.728
1611983,175.669
178780,174.995
62958,172.614
73508,171.646
173117,171.375
986194,170.696
918855,168.303
181422,164.164
189770,164.008
610020,163.121
315180,163.121
1132699,162.923
1597261,162.383
1324798,161.681
169546,161.312
231378,158.664
1573554,157.438
914054,156.427
526781,153.96
91180,153.952
1606199,153.268
980701,152.533
1241999,151.503
528904,150.112
1062873,149.076
659858,148.646
530391,147.811
1647055,146.576
847724,144.514
536211,143.248
864495,141.995
111795,139.22
54243,136.447
188079,135.305
130465,134.181
177838,133.71
835241,133.461
668368,132.69
174625,132.273
1138053,130.822
126998,128.646
41270,124.667
1016746,123.807
244736,123.136
210737,123.057
127636,122.078
58986,120.806
908804,118.251
31492,117.647
822340,117.596
910915,111.976
648903,109.55
354063,109.55
726120,102.008
513180,102.008
70994,101.161
535392,100.989
1255778,99.7239
165658,96.1621
112748,93.8282
922762,90.9851
915664,89.8719
50999,85.8911
1134972,82.4393
1136423,81.1135
613571,76.8137
318731,76.8137
815541,76.0908
996624,72.0701
1635760,69.5603
523968,66.7188
913307,66.0094
849152,65.2131
977788,56.6801
10499,0
