starting
done
loc,dist
528498,24.8102
1461156,24.7914
953974,24.7612
1196284,24.6766
1396288,24.5164
1549011,24.5159
1006361,24.4701
527530,24.3599
283824,24.1489
67783,24.1387
1119468,24.0897
1577920,24.0736
1060174,23.8774
1048459,23.8502
824080,23.7372
1260316,23.7146
117348,23.5481
392561,23.3502
1285555,23.3437
1194294,23.0846
404220,23.0732
1634553,22.8798
693808,22.8324
448108,22.8324
1196831,22.5412
822427,22.3643
838003,22.3574
1352735,22.3228
1169841,22.1017
1450632,22.0407
429915,21.6874
675615,21.6874
1628353,21.5904
1243154,21.5349
1061856,21.0195
107620,20.5711
1300534,20.3744
923700,19.9091
1463635,19.8847
276039,19.4987
1603439,19.3736
529184,19.2597
1066223,19.1639
995368,19.1634
1613856,19.0419
129607,18.9501
813272,18.7852
809650,18.6432
245266,18.4577
702942,18.378
457242,18.378
272280,17.9986
459636,17.979
98594,17.4047
844034,17.1966
116720,16.9534
110230,16.5982
1179563,16.312
1237792,16.2797
31007,16.032
107418,15.923
1199234,15.8628
1052555,15.7498
1337954,15.5734
1028847,15.3436
957422,15.0881
669528,15.0804
1023429,14.4489
153966,13.9078
37229,13.1217
171689,12.7159
192951,11.9296
316,11.2394
216530,10.9601
1274179,10.9447
296760,10.7457
194561,10.7005
18662,10.3118
611810,9.82349
316970,9.82349
1456554,6.77118
715043,6.6969
502103,6.6969
1467726,6.61068
1384443,5.86146
1299117,5.6878
966492,5.18227
1253417,5.15561
295483,5.15556
1464032,4.73247
791856,4.62351
1475966,4.25355
1304120,1.29419
690183,0.785126
444483,0.785126
962565,0.743712
1056198,0.636881
10495,0

Location : 1634557
Distance : 4.98099
Data Scanned : 1663231
Total Execution Time : 2.06 sec
